Auflage_DB_ID,Bescheid_ID,GZ,Auflagen_ID_laut_Bescheid,Auflagentyp,Auflagentext,Zielsystem,GSA_ID,GSA_Name,Frist,Intervall,Status,Rueckmeldung_am,Bemerkung
AUF-000001,B-200802180001,WA1-W-21395/704,30. Ölbindemittel bereit,Ölbindemittel bereitstellen,Ölbindemittel sind in einem verschlossenen Behälter vor Ort vorzuhalten.,EBauH,GSA-002,GSA02,,EINM,Produktiv,17.08.2025,
AUF-000002,B-200802180001,WA1-W-21395/704,21. Baustellensicherung ,Baustellensicherung durchführen,Die Baustelle ist gemäß §90 StVO abzusichern.,EBauH,GSA-002,GSA02,,BEGL,Produktiv,03.05.2026,
AUF-000003,B-200802180001,WA1-W-21395/704,29. Baustellenabwasser b,Baustellenabwasser behandeln,Anfallende Bauwässer sind vor Einleitung in das Gewässer zu behandeln.,EBauH,GSA-002,GSA02,,BEGL,Produktiv,22.10.2025,
AUF-000004,B-200802180001,WA1-W-21395/704,2. Mahd durchführen,Mahd durchführen,Die Uferböschungen sind jährlich zu mähen.,EBeH,GSA-002,GSA02,04.05.2029,2x_jährlich,Produktiv,01.01.2026,
AUF-000005,B-200802180001,WA1-W-21395/704,14. Schieber kontrollier,Schieber kontrollieren,Sämtliche Armaturen sind regelmäßig auf Dichtheit zu kontrollieren.,EBeH,GSA-001,GSA01,10.03.2030,jährlich,Produktiv,04.02.2026,
AUF-000006,B-200802180001,WA1-W-21395/704,39. Rückhaltebecken insp,Rückhaltebecken inspizieren,Eine jährliche Begehung und Inspektion des Rückhaltebeckens ist durchzuführen.,EBeH,GSA-002,GSA02,08.01.2029,halbjährlich,Produktiv,05.09.2025,
AUF-000007,B-200802180001,WA1-W-21395/704,34. Betriebsbuch führen,Betriebsbuch führen,Über alle Betriebsvorgänge ist ein Betriebsbuch zu führen.,EBeH,GSA-001,GSA01,,laufend,Produktiv,04.05.2026,
AUF-000008,B-200802180001,WA1-W-21395/704,32. Neophyten entfernen,Neophyten entfernen,Invasive Neophyten sind unverzüglich nach Auftreten zu entfernen und fachgerecht zu entsorgen.,GUSTAV,GSA-001,GSA01,25.09.2029,jährlich,Produktiv,28.06.2025,
AUF-000009,B-200802180001,WA1-W-21395/704,46. Zink messen,Zink messen,Die Zinkkonzentration im Gewässer ist jährlich zu bestimmen.,Probenahmeübersichtsplan,GSA-002,GSA02,28.01.2031,jährlich,Produktiv,30.10.2025,
AUF-000010,B-200802180001,WA1-W-21395/704,15. KW-Index messen,KW-Index messen,Die Konzentration an Mineralölkohlenwasserstoffen ist regelmäßig zu kontrollieren.,Probenahmeübersichtsplan,GSA-001,GSA01,07.02.2029,halbjährlich,Produktiv,27.06.2025,
AUF-000011,B-200802180001,WA1-W-21395/704,31. Inspektionselement g,Inspektionselement georeferenzieren,Die Lage der Gewässerschutzanlage ist geodätisch zu bestimmen und im GIS zu erfassen.,GIS,GSA-002,GSA02,,EINM,Produktiv,11.11.2025,
AUF-000012,B-201405300002,WA1-W-10851/877,45. Mahd durchführen,Mahd durchführen,Die Uferböschungen sind jährlich zu mähen.,EBeH,GSA-003,GSA03,05.06.2029,2x_jährlich,Produktiv,29.01.2026,
AUF-000013,B-201405300002,WA1-W-10851/877,15. Sedimente entfernen,Sedimente entfernen,"Das Rückhaltebecken ist bei Bedarf, mindestens jedoch alle 3 Jahre zu räumen.",EBeH,GSA-003,GSA03,11.11.2028,3-jährlich,Produktiv,10.03.2026,
AUF-000014,B-201405300002,WA1-W-10851/877,48. Schieber kontrollier,Schieber kontrollieren,Die Schieber und Absperrorgane sind jährlich auf Funktionstüchtigkeit zu prüfen.,EBeH,GSA-003,GSA03,15.02.2028,jährlich,Produktiv,10.03.2026,
AUF-000015,B-201405300002,WA1-W-10851/877,18. Rückhaltebecken insp,Rückhaltebecken inspizieren,Eine jährliche Begehung und Inspektion des Rückhaltebeckens ist durchzuführen.,EBeH,GSA-002,GSA02,03.03.2030,halbjährlich,Produktiv,26.04.2026,
AUF-000016,B-201405300002,WA1-W-10851/877,19. Betriebsbuch führen,Betriebsbuch führen,Über alle Betriebsvorgänge ist ein Betriebsbuch zu führen.,EBeH,GSA-002,GSA02,,laufend,Produktiv,14.12.2025,
AUF-000017,B-201405300002,WA1-W-10851/877,1. §134 Überprüfung dur,§134 Überprüfung durchführen,Die Anlage ist gemäß §134 WRG einer periodischen Überprüfung zu unterziehen.,EBeH,GSA-002,GSA02,24.02.2029,10-jährlich,Produktiv,27.01.2026,
AUF-000018,B-201405300002,WA1-W-10851/877,36. Neophyten entfernen,Neophyten entfernen,Vorkommen von Japanknöterich (Fallopia japonica) sind regelmäßig zu kontrollieren und zu bekämpfen.,GUSTAV,GSA-001,GSA01,05.10.2027,jährlich,Produktiv,24.06.2025,
AUF-000019,B-201405300002,WA1-W-10851/877,49. Pflegeplan einhalten,Pflegeplan einhalten,Der Pflegeplan ist jährlich umzusetzen und die Maßnahmen sind zu dokumentieren.,GUSTAV,GSA-002,GSA02,12.01.2031,jährlich,Produktiv,25.04.2026,
AUF-000020,B-201405300002,WA1-W-10851/877,19. Neophytenmonitoring ,Neophytenmonitoring durchführen,Eine jährliche Bestandserhebung invasiver Arten ist durchzuführen.,GUSTAV,GSA-001,GSA01,03.09.2030,jährlich,Produktiv,14.10.2025,
AUF-000021,B-201405300002,WA1-W-10851/877,12. Zink messen,Zink messen,Der Parameter Zink ist jährlich im Ablauf des Rückhaltebeckens zu messen.,Probenahmeübersichtsplan,GSA-004,GSA04,13.05.2029,jährlich,Produktiv,07.02.2026,
AUF-000022,B-201405300002,WA1-W-10851/877,5. Blei messen,Blei messen,Der Bleigehalt im Ablaufwasser ist einmal jährlich zu bestimmen.,Probenahmeübersichtsplan,GSA-004,GSA04,04.02.2028,jährlich,Produktiv,08.10.2025,
AUF-000023,B-201405300002,WA1-W-10851/877,10. KW-Index messen,KW-Index messen,Die Konzentration an Mineralölkohlenwasserstoffen ist regelmäßig zu kontrollieren.,Probenahmeübersichtsplan,GSA-001,GSA01,21.04.2028,halbjährlich,Produktiv,04.05.2026,
AUF-000024,B-201405300002,WA1-W-10851/877,49. Nickel messen,Nickel messen,Nickel ist einmal jährlich im Ablauf zu bestimmen.,Probenahmeübersichtsplan,GSA-001,GSA01,01.08.2030,jährlich,Produktiv,10.08.2025,
AUF-000025,B-201405300002,WA1-W-10851/877,25. Cadmium messen,Cadmium messen,"Cadmium ist jährlich im Ablauf zu messen und darf den Grenzwert von 0,1 mg/l nicht überschreiten.",Probenahmeübersichtsplan,GSA-002,GSA02,21.05.2030,jährlich,Produktiv,02.11.2025,
AUF-000026,B-201012070003,WA1-W-80284/227,20. Ölbindemittel bereit,Ölbindemittel bereitstellen,Auf der Baustelle sind stets ausreichende Mengen an Ölbindemitteln bereitzuhalten.,EBauH,GSA-002,GSA02,,EINM,Produktiv,08.08.2025,
AUF-000027,B-201012070003,WA1-W-80284/227,49. Baustellensicherung ,Baustellensicherung durchführen,Die Baustelle ist gemäß §90 StVO abzusichern.,EBauH,GSA-001,GSA01,,BEGL,Produktiv,31.07.2025,
AUF-000028,B-201012070003,WA1-W-80284/227,17. Baustellenabwasser b,Baustellenabwasser behandeln,Anfallende Bauwässer sind vor Einleitung in das Gewässer zu behandeln.,EBauH,GSA-001,GSA01,,BEGL,Produktiv,28.03.2026,
AUF-000029,B-201012070003,WA1-W-80284/227,36. Mahd durchführen,Mahd durchführen,Die Böschungen sind mindestens zweimal jährlich zu mähen und das Mähgut ist abzutragen.,EBeH,GSA-001,GSA01,05.06.2028,2x_jährlich,Produktiv,28.03.2026,
AUF-000030,B-201012070003,WA1-W-80284/227,29. Schieber kontrollier,Schieber kontrollieren,Sämtliche Armaturen sind regelmäßig auf Dichtheit zu kontrollieren.,EBeH,GSA-001,GSA01,29.09.2029,jährlich,Produktiv,18.01.2026,
AUF-000031,B-201012070003,WA1-W-80284/227,19. Rückhaltebecken insp,Rückhaltebecken inspizieren,Eine jährliche Begehung und Inspektion des Rückhaltebeckens ist durchzuführen.,EBeH,GSA-001,GSA01,02.10.2028,halbjährlich,Produktiv,22.06.2025,
