Bescheid_ID,GZ,Wasserbuch,Behörde,Bescheiddatum,Bescheidart,Region,ABM,Strecke,Abschnitt,km_von,km_bis,Befristung_bis,Wiederverleihung,Kollaudierung,§134_erforderlich,Status,Erfasst_von_BMG,BMG_Bearbeiter,Freigegeben_von_BUM,BUM_Bearbeiter,DOXIS_Link,Bescheidakte
B-200802180001,WA1-W-21395/704,WB-1001,BH Wels-Land,18.02.2008,Bewilligungsbescheid,Ost,Kaisermühlen,Donaukorridor,A01,88.6,94.3,23.08.2034,Ja,Ja,Ja,Produktiv,17.08.2023,Maria Hofbauer,05.12.2024,Klaus Pichler,https://doxis.aquanet.at/bescheide/1001,WA1-W-88907/127
B-201405300002,WA1-W-10851/877,WB-1002,BH St. Pölten,30.05.2014,Wiederverleihung,Mitte,Walterskirchen,Tullner Feld,A06,192.4,206.7,06.05.2029,Nein,Ja,Ja,Produktiv,27.07.2024,Maria Hofbauer,05.09.2025,Klaus Pichler,https://doxis.aquanet.at/bescheide/1002,WA1-W-23396/194
B-201012070003,WA1-W-80284/227,WB-1003,BH Wels-Land,07.12.2010,Bewilligungsbescheid,West,Oeynhausen,Innviertel,A09,71.1,78.6,10.01.2039,Nein,Nein,Ja,Produktiv,25.01.2026,Maria Hofbauer,03.03.2025,Klaus Pichler,https://doxis.aquanet.at/bescheide/1003,WA1-W-16006/777
B-200704080004,WA1-W-57819/266,WB-1004,MA 45 Wien,08.04.2007,Änderungsbescheid,Nord,Stockerau,Marchtal,A04,83.0,88.4,13.10.2025,Nein,Ja,Ja,Produktiv,19.06.2023,Maria Hofbauer,04.09.2024,Klaus Pichler,https://doxis.aquanet.at/bescheide/1004,WA1-W-42087/267
B-202006080005,WA1-W-17331/334,WB-1005,BH Korneuburg,08.06.2020,Änderungsbescheid,West,Oeynhausen,Innviertel,A07,53.5,72.1,02.12.2042,Nein,Ja,Ja,Produktiv,10.09.2024,Maria Hofbauer,19.07.2025,Klaus Pichler,https://doxis.aquanet.at/bescheide/1005,WA1-W-37869/771
B-200803160006,WA1-W-80644/369,WB-1006,LH Niederösterreich,16.03.2008,Wiederverleihung,West,Oeynhausen,Innviertel,A07,175.3,188.5,20.02.2024,Nein,Ja,Ja,Produktiv,08.08.2023,Maria Hofbauer,19.11.2024,Klaus Pichler,https://doxis.aquanet.at/bescheide/1006,WA1-W-74686/193
B-202004060007,WA1-W-60019/710,WB-1007,BH Wels-Land,06.04.2020,Änderungsbescheid,Ost,Kaisermühlen,Donaukorridor,A09,18.3,22.3,22.09.2039,Ja,Ja,Nein,Produktiv,20.07.2024,Maria Hofbauer,18.05.2025,Klaus Pichler,https://doxis.aquanet.at/bescheide/1007,WA1-W-24621/400
B-202102210008,WA1-W-76542/208,WB-1008,LH Niederösterreich,21.02.2021,Änderungsbescheid,West,Oeynhausen,Innviertel,A09,89.9,109.0,15.01.2037,Ja,Ja,Nein,Zurückgewiesen,21.07.2025,Maria Hofbauer,16.12.2025,Klaus Pichler,https://doxis.aquanet.at/bescheide/1008,WA1-W-80697/897
B-200707060009,WA1-W-41385/159,WB-1009,BH St. Pölten,06.07.2007,Bewilligungsbescheid,Mitte,Walterskirchen,Tullner Feld,A02,160.9,171.2,23.08.2025,Nein,Ja,Ja,In Bearbeitung,27.09.2025,Maria Hofbauer,06.08.2025,Klaus Pichler,https://doxis.aquanet.at/bescheide/1009,WA1-W-96474/586
B-201406290010,WA1-W-36365/830,WB-1010,MA 45 Wien,29.06.2014,Wiederverleihung,Mitte,Walterskirchen,Tullner Feld,A06,71.2,88.8,27.03.2029,Nein,Nein,Ja,Zurückgewiesen,25.01.2025,Maria Hofbauer,10.07.2024,Klaus Pichler,https://doxis.aquanet.at/bescheide/1010,WA1-W-39451/165
B-200912100011,WA1-W-17716/334,WB-1011,BH Korneuburg,10.12.2009,Bewilligungsbescheid,Süd,St. Pölten,Ennstal,A06,89.3,94.7,04.02.2020,Ja,Ja,Nein,Produktiv,26.09.2023,Maria Hofbauer,08.09.2024,Klaus Pichler,https://doxis.aquanet.at/bescheide/1011,WA1-W-38080/652
B-201402170012,WA1-W-66498/462,WB-1012,BH Wels-Land,17.02.2014,Wiederverleihung,Nord,Stockerau,Marchtal,A08,20.5,30.5,23.05.2028,Ja,Ja,Ja,Produktiv,14.03.2024,Maria Hofbauer,11.08.2024,Klaus Pichler,https://doxis.aquanet.at/bescheide/1012,WA1-W-54473/919
B-200802230013,WA1-W-42742/995,WB-1013,BH Korneuburg,23.02.2008,Wiederverleihung,Ost,Kaisermühlen,Donaukorridor,A09,22.9,34.1,08.08.2027,Ja,Ja,Ja,Produktiv,07.12.2025,Maria Hofbauer,28.02.2025,Klaus Pichler,https://doxis.aquanet.at/bescheide/1013,WA1-W-40982/270
B-200604260014,WA1-W-44760/902,WB-1014,BH Wels-Land,26.04.2006,Änderungsbescheid,West,Oeynhausen,Innviertel,A07,95.4,112.8,01.01.2020,Nein,Ja,Ja,Produktiv,17.10.2024,Maria Hofbauer,13.05.2025,Klaus Pichler,https://doxis.aquanet.at/bescheide/1014,WA1-W-38534/159
B-201802070015,WA1-W-30635/158,WB-1015,BH Braunau am Inn,07.02.2018,Bewilligungsbescheid,Mitte,Walterskirchen,Tullner Feld,A03,201.0,203.1,15.10.2038,Ja,Ja,Ja,Produktiv,12.03.2024,Maria Hofbauer,20.12.2024,Klaus Pichler,https://doxis.aquanet.at/bescheide/1015,WA1-W-25713/683
