Dokument_ID,Bescheid_ID,GZ,Dokumenttyp,DMS_vorhanden,DOXIS_Link,Status,Bemerkung
DOK-000001,B-200802180001,WA1-W-21395/704,Laborprotokoll,Ja,https://doxis.aquanet.at/dok/1,Produktiv,
DOK-000002,B-200802180001,WA1-W-21395/704,Lageplan,Nein,,Produktiv,
DOK-000003,B-200802180001,WA1-W-21395/704,Kollaudierungsbescheid,Ja,https://doxis.aquanet.at/dok/3,Produktiv,
DOK-000004,B-200802180001,WA1-W-21395/704,Kollaudierungsbescheid,Ja,https://doxis.aquanet.at/dok/4,Produktiv,
DOK-000005,B-201405300002,WA1-W-10851/877,Genehmigungsbescheid,Ja,https://doxis.aquanet.at/dok/5,Produktiv,
DOK-000006,B-201012070003,WA1-W-80284/227,Lageplan,Ja,https://doxis.aquanet.at/dok/6,Produktiv,
DOK-000007,B-201012070003,WA1-W-80284/227,Prüfbericht §134,Ja,https://doxis.aquanet.at/dok/7,Produktiv,
DOK-000008,B-200704080004,WA1-W-57819/266,Kollaudierungsbescheid,Ja,https://doxis.aquanet.at/dok/8,Produktiv,
DOK-000009,B-200704080004,WA1-W-57819/266,Kollaudierungsbescheid,Ja,https://doxis.aquanet.at/dok/9,Produktiv,
DOK-000010,B-202006080005,WA1-W-17331/334,Prüfbericht §134,Ja,https://doxis.aquanet.at/dok/10,Produktiv,
DOK-000011,B-202006080005,WA1-W-17331/334,Prüfbericht §134,Nein,,Produktiv,
DOK-000012,B-200803160006,WA1-W-80644/369,Laborprotokoll,Ja,https://doxis.aquanet.at/dok/12,Produktiv,
DOK-000013,B-200803160006,WA1-W-80644/369,Technischer Bericht,Ja,https://doxis.aquanet.at/dok/13,Produktiv,
DOK-000014,B-200803160006,WA1-W-80644/369,Laborprotokoll,Ja,https://doxis.aquanet.at/dok/14,Produktiv,
DOK-000015,B-200803160006,WA1-W-80644/369,Laborprotokoll,Ja,https://doxis.aquanet.at/dok/15,Produktiv,
DOK-000016,B-202004060007,WA1-W-60019/710,Prüfbericht §134,Ja,https://doxis.aquanet.at/dok/16,Produktiv,
DOK-000017,B-202004060007,WA1-W-60019/710,Technischer Bericht,Ja,https://doxis.aquanet.at/dok/17,Produktiv,
DOK-000018,B-202004060007,WA1-W-60019/710,Technischer Bericht,Nein,,Produktiv,
DOK-000019,B-202102210008,WA1-W-76542/208,Laborprotokoll,Ja,https://doxis.aquanet.at/dok/19,Zurückgewiesen,
DOK-000020,B-202102210008,WA1-W-76542/208,Laborprotokoll,Nein,,Zurückgewiesen,
DOK-000021,B-202102210008,WA1-W-76542/208,Technischer Bericht,Nein,,Zurückgewiesen,
DOK-000022,B-200707060009,WA1-W-41385/159,Lageplan,Nein,,In Bearbeitung,
DOK-000023,B-200707060009,WA1-W-41385/159,Genehmigungsbescheid,Ja,https://doxis.aquanet.at/dok/23,In Bearbeitung,
DOK-000024,B-200707060009,WA1-W-41385/159,Genehmigungsbescheid,Ja,https://doxis.aquanet.at/dok/24,In Bearbeitung,
DOK-000025,B-200707060009,WA1-W-41385/159,Laborprotokoll,Ja,https://doxis.aquanet.at/dok/25,In Bearbeitung,
DOK-000026,B-201406290010,WA1-W-36365/830,Laborprotokoll,Ja,https://doxis.aquanet.at/dok/26,Zurückgewiesen,
DOK-000027,B-201406290010,WA1-W-36365/830,Prüfbericht §134,Ja,https://doxis.aquanet.at/dok/27,Zurückgewiesen,
DOK-000028,B-201406290010,WA1-W-36365/830,Technischer Bericht,Ja,https://doxis.aquanet.at/dok/28,Zurückgewiesen,
DOK-000029,B-201406290010,WA1-W-36365/830,Laborprotokoll,Ja,https://doxis.aquanet.at/dok/29,Zurückgewiesen,
DOK-000030,B-200912100011,WA1-W-17716/334,Technischer Bericht,Ja,https://doxis.aquanet.at/dok/30,Produktiv,
DOK-000031,B-200912100011,WA1-W-17716/334,Genehmigungsbescheid,Ja,https://doxis.aquanet.at/dok/31,Produktiv,
DOK-000032,B-201402170012,WA1-W-66498/462,Lageplan,Nein,,Produktiv,
DOK-000033,B-201402170012,WA1-W-66498/462,Genehmigungsbescheid,Ja,https://doxis.aquanet.at/dok/33,Produktiv,
DOK-000034,B-201402170012,WA1-W-66498/462,Kollaudierungsbescheid,Ja,https://doxis.aquanet.at/dok/34,Produktiv,
DOK-000035,B-201402170012,WA1-W-66498/462,Prüfbericht §134,Nein,,Produktiv,
DOK-000036,B-200802230013,WA1-W-42742/995,Laborprotokoll,Ja,https://doxis.aquanet.at/dok/36,Produktiv,
DOK-000037,B-200802230013,WA1-W-42742/995,Kollaudierungsbescheid,Ja,https://doxis.aquanet.at/dok/37,Produktiv,
DOK-000038,B-200802230013,WA1-W-42742/995,Lageplan,Ja,https://doxis.aquanet.at/dok/38,Produktiv,
DOK-000039,B-200802230013,WA1-W-42742/995,Lageplan,Ja,https://doxis.aquanet.at/dok/39,Produktiv,
DOK-000040,B-200604260014,WA1-W-44760/902,Prüfbericht §134,Ja,https://doxis.aquanet.at/dok/40,Produktiv,
DOK-000041,B-201802070015,WA1-W-30635/158,Genehmigungsbescheid,Nein,,Produktiv,
DOK-000042,B-201802070015,WA1-W-30635/158,Technischer Bericht,Ja,https://doxis.aquanet.at/dok/42,Produktiv,
DOK-000043,B-201802070015,WA1-W-30635/158,Prüfbericht §134,Ja,https://doxis.aquanet.at/dok/43,Produktiv,
