Element_ID,Bescheid_ID,GZ,GSA_ID,GSA_Name,Elementtyp,X_Koordinate,Y_Koordinate,Bezugssystem,GIS_Status,Rueckmeldung_am,Bemerkung
EL-000001,B-200802180001,WA1-W-21395/704,GSA-001,GSA01,Zulauf,609606.9,5313143.2,ETRS89/UTM,Produktiv,17.12.2025,
EL-000002,B-200802180001,WA1-W-21395/704,GSA-001,GSA01,Trennbauwerk,603398.3,5283470.1,ETRS89/UTM,Produktiv,21.04.2025,
EL-000003,B-200802180001,WA1-W-21395/704,GSA-002,GSA02,Auslaufbauwerk,517352.8,5390232.4,ETRS89/UTM,Produktiv,21.05.2025,
EL-000004,B-200802180001,WA1-W-21395/704,GSA-002,GSA02,Einzäunung,602103.3,5400203.1,ETRS89/UTM,Produktiv,24.11.2025,
EL-000005,B-201405300002,WA1-W-10851/877,GSA-001,GSA01,Einzäunung,528952.2,5394875.1,ETRS89/UTM,Produktiv,31.10.2025,
EL-000006,B-201405300002,WA1-W-10851/877,GSA-001,GSA01,Trennbauwerk,483313.0,5307038.2,ETRS89/UTM,Produktiv,04.09.2025,
EL-000007,B-201405300002,WA1-W-10851/877,GSA-001,GSA01,Schieber,601009.4,5415364.5,ETRS89/UTM,Produktiv,22.06.2025,
EL-000008,B-201405300002,WA1-W-10851/877,GSA-001,GSA01,Trennbauwerk,569807.4,5335955.0,ETRS89/UTM,Produktiv,19.05.2026,
EL-000009,B-201405300002,WA1-W-10851/877,GSA-002,GSA02,Schieber,602785.4,5316570.1,ETRS89/UTM,Produktiv,08.05.2026,
EL-000010,B-201405300002,WA1-W-10851/877,GSA-003,GSA03,Trennbauwerk,563520.0,5328396.2,ETRS89/UTM,Produktiv,27.03.2025,
EL-000011,B-201405300002,WA1-W-10851/877,GSA-004,GSA04,Schieber,533927.4,5360722.3,ETRS89/UTM,Produktiv,02.05.2026,
EL-000012,B-201012070003,WA1-W-80284/227,GSA-001,GSA01,Einzäunung,480236.8,5409580.5,ETRS89/UTM,Produktiv,09.06.2025,
EL-000013,B-201012070003,WA1-W-80284/227,GSA-001,GSA01,Trennbauwerk,540381.6,5412842.4,ETRS89/UTM,Produktiv,16.09.2024,
EL-000014,B-201012070003,WA1-W-80284/227,GSA-001,GSA01,Schieber,523948.2,5398722.1,ETRS89/UTM,Produktiv,13.01.2025,
EL-000015,B-201012070003,WA1-W-80284/227,GSA-001,GSA01,Rückhaltebecken,523299.9,5337175.0,ETRS89/UTM,Produktiv,03.07.2024,
EL-000016,B-201012070003,WA1-W-80284/227,GSA-002,GSA02,Rückhaltebecken,557617.7,5306857.6,ETRS89/UTM,Produktiv,23.07.2024,
EL-000017,B-201012070003,WA1-W-80284/227,GSA-002,GSA02,Schieber,584738.8,5304363.8,ETRS89/UTM,Produktiv,27.04.2025,
EL-000018,B-201012070003,WA1-W-80284/227,GSA-002,GSA02,Schieber,556711.2,5280056.8,ETRS89/UTM,Produktiv,13.11.2025,
EL-000019,B-200704080004,WA1-W-57819/266,GSA-001,GSA01,Trennbauwerk,590006.2,5364932.6,ETRS89/UTM,Produktiv,25.02.2025,
EL-000020,B-200704080004,WA1-W-57819/266,GSA-001,GSA01,Drosselorgan,541850.0,5374587.8,ETRS89/UTM,Produktiv,25.12.2025,
EL-000021,B-200704080004,WA1-W-57819/266,GSA-001,GSA01,Trennbauwerk,572239.1,5319730.1,ETRS89/UTM,Produktiv,13.03.2026,
EL-000022,B-200704080004,WA1-W-57819/266,GSA-001,GSA01,Schieber,594579.3,5385159.3,ETRS89/UTM,Produktiv,29.10.2025,
EL-000023,B-202006080005,WA1-W-17331/334,GSA-001,GSA01,Drosselorgan,500629.6,5286469.9,ETRS89/UTM,Produktiv,29.09.2024,
EL-000024,B-202006080005,WA1-W-17331/334,GSA-001,GSA01,Rückhaltebecken,598963.3,5290196.0,ETRS89/UTM,Produktiv,10.09.2024,
EL-000025,B-200803160006,WA1-W-80644/369,GSA-001,GSA01,Rückhaltebecken,580568.4,5333757.0,ETRS89/UTM,Produktiv,10.10.2025,
EL-000026,B-200803160006,WA1-W-80644/369,GSA-001,GSA01,Auslaufbauwerk,500660.0,5376267.1,ETRS89/UTM,Produktiv,07.04.2025,
EL-000027,B-200803160006,WA1-W-80644/369,GSA-002,GSA02,Drosselorgan,504624.1,5414115.2,ETRS89/UTM,Produktiv,26.04.2026,
EL-000028,B-200803160006,WA1-W-80644/369,GSA-002,GSA02,Auslaufbauwerk,558036.8,5408445.8,ETRS89/UTM,Produktiv,06.03.2025,
EL-000029,B-200803160006,WA1-W-80644/369,GSA-003,GSA03,Trennbauwerk,592198.3,5373460.9,ETRS89/UTM,Produktiv,20.03.2025,
EL-000030,B-200803160006,WA1-W-80644/369,GSA-003,GSA03,Rückhaltebecken,565771.3,5380698.4,ETRS89/UTM,Produktiv,02.12.2024,
EL-000031,B-202004060007,WA1-W-60019/710,GSA-001,GSA01,Drosselorgan,605609.1,5384111.8,ETRS89/UTM,Produktiv,13.03.2025,
EL-000032,B-202004060007,WA1-W-60019/710,GSA-001,GSA01,Schieber,516286.8,5314613.6,ETRS89/UTM,Produktiv,30.12.2024,
EL-000033,B-202004060007,WA1-W-60019/710,GSA-001,GSA01,Drosselorgan,547843.6,5313494.4,ETRS89/UTM,Produktiv,29.03.2026,
EL-000034,B-202004060007,WA1-W-60019/710,GSA-001,GSA01,Trennbauwerk,579896.3,5312829.1,ETRS89/UTM,Produktiv,24.07.2025,
EL-000035,B-202004060007,WA1-W-60019/710,GSA-002,GSA02,Zulauf,499372.4,5312376.6,ETRS89/UTM,Produktiv,23.06.2024,
EL-000036,B-200912100011,WA1-W-17716/334,GSA-001,GSA01,Drosselorgan,488992.0,5337063.9,ETRS89/UTM,Produktiv,17.04.2025,
EL-000037,B-200912100011,WA1-W-17716/334,GSA-001,GSA01,Rückhaltebecken,488717.2,5396604.8,ETRS89/UTM,Produktiv,26.10.2024,
EL-000038,B-200912100011,WA1-W-17716/334,GSA-002,GSA02,Rückhaltebecken,599942.5,5387183.2,ETRS89/UTM,Produktiv,13.02.2025,
EL-000039,B-200912100011,WA1-W-17716/334,GSA-003,GSA03,Rückhaltebecken,611983.8,5321805.8,ETRS89/UTM,Produktiv,13.04.2025,
EL-000040,B-201402170012,WA1-W-66498/462,GSA-001,GSA01,Drosselorgan,548352.1,5318210.9,ETRS89/UTM,Produktiv,18.05.2026,
EL-000041,B-201402170012,WA1-W-66498/462,GSA-001,GSA01,Rückhaltebecken,534440.0,5373642.3,ETRS89/UTM,Produktiv,29.12.2025,
EL-000042,B-200802230013,WA1-W-42742/995,GSA-001,GSA01,Einlaufbauwerk,608735.8,5417301.1,ETRS89/UTM,Produktiv,09.05.2025,
EL-000043,B-200802230013,WA1-W-42742/995,GSA-001,GSA01,Auslaufbauwerk,562865.0,5372820.0,ETRS89/UTM,Produktiv,27.08.2024,
EL-000044,B-200802230013,WA1-W-42742/995,GSA-001,GSA01,Zulauf,540005.8,5401359.2,ETRS89/UTM,Produktiv,26.04.2026,
EL-000045,B-200802230013,WA1-W-42742/995,GSA-001,GSA01,Drosselorgan,516421.9,5325829.4,ETRS89/UTM,Produktiv,17.07.2025,
EL-000046,B-200802230013,WA1-W-42742/995,GSA-002,GSA02,Rückhaltebecken,586572.2,5333077.7,ETRS89/UTM,Produktiv,01.10.2025,
EL-000047,B-200802230013,WA1-W-42742/995,GSA-002,GSA02,Einlaufbauwerk,596887.5,5345843.0,ETRS89/UTM,Produktiv,23.06.2025,
EL-000048,B-200802230013,WA1-W-42742/995,GSA-002,GSA02,Einlaufbauwerk,511391.1,5289606.6,ETRS89/UTM,Produktiv,16.05.2026,
EL-000049,B-200604260014,WA1-W-44760/902,GSA-001,GSA01,Zulauf,507910.5,5282853.2,ETRS89/UTM,Produktiv,15.10.2025,
EL-000050,B-200604260014,WA1-W-44760/902,GSA-001,GSA01,Einzäunung,497670.9,5373724.2,ETRS89/UTM,Produktiv,25.02.2025,
EL-000051,B-200604260014,WA1-W-44760/902,GSA-002,GSA02,Auslaufbauwerk,587365.7,5303490.5,ETRS89/UTM,Produktiv,31.12.2025,
EL-000052,B-200604260014,WA1-W-44760/902,GSA-002,GSA02,Einlaufbauwerk,615060.9,5295133.8,ETRS89/UTM,Produktiv,01.08.2025,
EL-000053,B-200604260014,WA1-W-44760/902,GSA-002,GSA02,Rückhaltebecken,560611.5,5407123.7,ETRS89/UTM,Produktiv,06.05.2025,
EL-000054,B-200604260014,WA1-W-44760/902,GSA-003,GSA03,Einzäunung,490639.5,5376686.0,ETRS89/UTM,Produktiv,04.03.2026,
EL-000055,B-200604260014,WA1-W-44760/902,GSA-003,GSA03,Auslaufbauwerk,577607.0,5322221.6,ETRS89/UTM,Produktiv,14.11.2024,
EL-000056,B-200604260014,WA1-W-44760/902,GSA-004,GSA04,Trennbauwerk,528608.5,5339972.9,ETRS89/UTM,Produktiv,07.04.2026,
EL-000057,B-201802070015,WA1-W-30635/158,GSA-001,GSA01,Drosselorgan,481771.3,5338808.2,ETRS89/UTM,Produktiv,28.02.2026,
EL-000058,B-201802070015,WA1-W-30635/158,GSA-001,GSA01,Drosselorgan,540693.3,5330706.3,ETRS89/UTM,Produktiv,22.06.2024,
EL-000059,B-201802070015,WA1-W-30635/158,GSA-001,GSA01,Schieber,501418.8,5304659.2,ETRS89/UTM,Produktiv,24.09.2024,
