Labor_ID,Bescheid_ID,GZ,Auflagen_ID_laut_Bescheid,GSA_ID,GSA_Name,Parameter,Grenzwert,Messwert,Einheit,Norm,Intervall,Grenzwert_eingehalten,Zielsystem,Status
LAB-000001,B-200802180001,WA1-W-21395/704,46. Zink messen,GSA-002,GSA02,Zink,2.0,2.344,mg/l,ÖNORM EN ISO 11885,jährlich,NEIN,Probenahmeübersichtsplan,Produktiv
LAB-000002,B-200802180001,WA1-W-21395/704,15. KW-Index messen,GSA-001,GSA01,KW-Index,10.0,5.676,mg/l,ÖNORM EN ISO 9377-2,halbjährlich,Ja,Probenahmeübersichtsplan,Produktiv
LAB-000003,B-201405300002,WA1-W-10851/877,12. Zink messen,GSA-004,GSA04,Zink,2.0,2.67,mg/l,ÖNORM EN ISO 11885,jährlich,NEIN,Probenahmeübersichtsplan,Produktiv
LAB-000004,B-201405300002,WA1-W-10851/877,5. Blei messen,GSA-004,GSA04,Blei,0.5,0.191,mg/l,ÖNORM EN ISO 11885,jährlich,Ja,Probenahmeübersichtsplan,Produktiv
LAB-000005,B-201405300002,WA1-W-10851/877,10. KW-Index messen,GSA-001,GSA01,KW-Index,10.0,13.933,mg/l,ÖNORM EN ISO 9377-2,halbjährlich,NEIN,Probenahmeübersichtsplan,Produktiv
LAB-000006,B-201405300002,WA1-W-10851/877,49. Nickel messen,GSA-001,GSA01,Nickel,0.2,0.191,mg/l,EU-VO 2023/915,jährlich,Ja,Probenahmeübersichtsplan,Produktiv
LAB-000007,B-201405300002,WA1-W-10851/877,25. Cadmium messen,GSA-002,GSA02,Cadmium,0.1,0.063,mg/l,EU-VO 2023/915,jährlich,Ja,Probenahmeübersichtsplan,Produktiv
LAB-000008,B-201012070003,WA1-W-80284/227,10. Zink messen,GSA-001,GSA01,Zink,2.0,0.965,mg/l,ÖNORM EN ISO 11885,jährlich,Ja,Probenahmeübersichtsplan,Produktiv
LAB-000009,B-201012070003,WA1-W-80284/227,48. KW-Index messen,GSA-002,GSA02,KW-Index,10.0,4.368,mg/l,ÖNORM EN ISO 9377-2,halbjährlich,Ja,Probenahmeübersichtsplan,Produktiv
LAB-000010,B-200704080004,WA1-W-57819/266,27. KW-Index messen,GSA-001,GSA01,KW-Index,10.0,10.371,mg/l,ÖNORM EN ISO 9377-2,halbjährlich,NEIN,Probenahmeübersichtsplan,Produktiv
LAB-000011,B-200704080004,WA1-W-57819/266,27. Nickel messen,GSA-001,GSA01,Nickel,0.2,0.206,mg/l,EU-VO 2023/915,jährlich,NEIN,Probenahmeübersichtsplan,Produktiv
LAB-000012,B-202006080005,WA1-W-17331/334,2. KW-Index messen,GSA-001,GSA01,KW-Index,10.0,4.742,mg/l,ÖNORM EN ISO 9377-2,halbjährlich,Ja,Probenahmeübersichtsplan,Produktiv
LAB-000013,B-202006080005,WA1-W-17331/334,27. Nickel messen,GSA-001,GSA01,Nickel,0.2,0.278,mg/l,EU-VO 2023/915,jährlich,NEIN,Probenahmeübersichtsplan,Produktiv
LAB-000014,B-200803160006,WA1-W-80644/369,16. Zink messen,GSA-001,GSA01,Zink,2.0,2.483,mg/l,ÖNORM EN ISO 11885,jährlich,NEIN,Probenahmeübersichtsplan,Produktiv
LAB-000015,B-200803160006,WA1-W-80644/369,21. Blei messen,GSA-002,GSA02,Blei,0.5,0.652,mg/l,ÖNORM EN ISO 11885,jährlich,NEIN,Probenahmeübersichtsplan,Produktiv
